question|answer
dimana ulbi?|ULBI adalah Universitas Logistik dan Bisnis Internasional, yang berlokasi di Sarijadi Bandung.
apa itu mode hemat daya?|Mode hemat daya adalah fitur yang mengurangi konsumsi daya dengan membatasi kinerja dan fitur handphone untuk memperpanjang masa pakai baterai.
IMEI|IMEI (International Mobile Equipment Identity) adalah nomor identifikasi unik untuk setiap handphone yang dapat digunakan untuk melacak atau memblokir perangkat yang hilang atau dicuri.
dark mode|Dark mode adalah tampilan antarmuka dengan latar belakang gelap yang dirancang untuk mengurangi ketegangan mata dan menghemat baterai pada layar OLED.
apa itu cloud storage?|Cloud storage adalah layanan penyimpanan data di server jarak jauh yang dapat diakses melalui internet, memungkinkan sinkronisasi dan backup data secara otomatis.
kenapa babi harganya mahal?|Babi memiliki harga yang mahal karena ia memiliki banyak manfaat. Babi dapat digunakan untuk makanan, pakaian, dan bahan baku lainnya. Selain itu, babi juga memiliki banyak manfaat medis, seperti mengurangi risiko penyakit jantung dan diabetes. Babi memiliki banyak nutrisi yang bermanfaat bagi tubuh, seperti protein, lemak, karbohidrat, vitamin, dan mineral. Karena semua manfaat ini, harga babi cukup mahal.	
kenapa sapi harganya mahal?|Sapi memiliki banyak manfaat bagi manusia. Mereka dapat digunakan untuk menarik kereta, menghasilkan susu, dan bahkan dapat digunakan sebagai sumber protein yang bergizi. Karena manfaat ini, harga sapi cukup mahal. Selain itu, biaya pemeliharaan sapi cukup tinggi. Hal ini karena sapi membutuhkan makanan berkualitas tinggi, perawatan kesehatan, dan perawatan lainnya. Semua biaya ini menyebabkan harga sapi menjadi mahal.	
kapan perang diponegoro?|Perang Diponegoro adalah perang yang terjadi di Jawa pada tahun 1825-1830 antara Pemerintah Kolonial Belanda dengan Pangeran Diponegoro. Perang ini dimulai ketika Pangeran Diponegoro menolak untuk membayar pajak yang ditetapkan oleh Belanda. Perang ini berlangsung selama 5 tahun dan menyebabkan kerugian besar bagi Belanda. Pangeran Diponegoro berhasil mengalahkan Belanda dengan menggunakan strategi perang gerilya. Akhirnya, Belanda menyerah dan menandatangani Perjanjian Giyanti pada tahun 1830.	
apa isi perjanjian giyanti?|Perjanjian Giyanti adalah perjanjian yang dibuat antara dua pihak untuk menyelesaikan sengketa tanpa harus melalui proses hukum. Perjanjian ini mengikat kedua belah pihak untuk menghormati dan mematuhi kesepakatan yang telah disepakati. Perjanjian ini juga mengikat kedua belah pihak untuk menghormati hak-hak yang ditentukan dalam perjanjian. Kedua belah pihak juga bertanggung jawab untuk mengikuti semua ketentuan yang ditetapkan dalam perjanjian ini. Perjanjian ini juga mengikat kedua belah pihak untuk menghormati hak-hak yang ditentukan dalam perjanjian. Kedua belah pihak juga bertanggung jawab untuk mengikuti semua ketentuan yang ditetapkan dalam perjanjian ini.	
quotes|Quotes adalah ungkapan singkat yang mengandung makna mendalam dan memiliki pesan yang dapat memotivasi, menginspirasi, atau mengubah pemikiran seseorang.
