question|answer
Apa warna langit?|Biru.
Siapa nama presiden Indonesia saat ini?|Joko Widodo.
Berapa banyak bulan dalam setahun?|Dua belas.
Apa ibukota Jepang?|Tokyo.
Siapa penemu bola lampu?|Thomas Edison.
Apa nama samaran Batman?|Dark Knight.
Siapa pelukis terkenal lukisan Mona Lisa?|Leonardo da Vinci.
Berapa jumlah provinsi di Indonesia?|Tiga puluh empat.
Apa nama hewan yang memiliki belalai panjang?|Gajah.
Siapakah tokoh utama dalam cerita Harry Potter?|Harry Potter.
Apa makanan khas Italia yang terkenal?|Pizza.
Siapa penulis drama Romeo dan Juliet?|William Shakespeare.
Berapa jumlah huruf dalam alfabet?|Dua puluh enam.
Apa yang dilakukan dokter gigi?|Memeriksa dan merawat gigi.
Siapa penemu telepon?|Alexander Graham Bell.
Apa yang dilakukan seorang arsitek?|Merancang bangunan.
Siapa presiden Amerika Serikat ke-16?|Abraham Lincoln.
Apa alat musik yang dimainkan dengan tiupan?|Saksofon.
Siapa nama karakter utama dalam The Lord of the Rings?|Frodo Baggins.
Berapa banyak bagian tubuh manusia?|Banyak, termasuk kepala, tangan, dan kaki.
Apa nama tarian tradisional Jawa?|Gamelan.
Siapa penulis novel To Kill a Mockingbird?|Harper Lee.
Apa nama planet terdekat dari Matahari?|Merkurius.
Siapa penulis komik Superman?|Jerry Siegel dan Joe Shuster.
Berapa banyak gigi dewasa yang dimiliki manusia?|Tiga puluh dua.
Apa yang dimaksud dengan medan magnet?|Daerah di sekitar magnet yang mempengaruhi benda logam.
Siapa presiden pertama Amerika Serikat?|George Washington.
Apa warna bendera Jerman?|Hitam, merah, dan kuning.
Siapa penulis novel The Great Gatsby?|F. Scott Fitzgerald.
Berapa banyak unsur kimia yang ada di dalam tabel periodik?|Ada lebih dari seratus.
Apa yang dilakukan seorang ilmuwan komputer?|Mengembangkan perangkat lunak.
Siapa penulis novel War and Peace?|Leo Tolstoy.
Berapa banyak kaki yang dimiliki seekor kucing?|Empat.
Apa nama tokoh antagonis dalam cerita Cinderella?|Ibu tiri.
Siapa penulis komik Garfield?|Jim Davis.
Apa nama ilmuwan terkenal yang menyusun teori relativitas?|Albert Einstein.
Siapa penulis novel Moby Dick?|Herman Melville.
Berapa jumlah planet di Tata Surya?|Delapan.
Apa yang dilakukan seorang astronom?|Mempelajari benda langit seperti bintang dan planet.
Siapa penemu gravitasi?|Isaac Newton.
Apa nama simbol kimia untuk air?|H2O.
Siapa penulis drama Macbeth?|William Shakespeare.
Berapa banyak warna dasar dalam spektrum warna pelangi?|Tujuh.
Apa nama tokoh utama dalam cerita Sherlock Holmes?|Sherlock Holmes.
Siapa penemu teori evolusi?|Charles Darwin.
Apa nama ilmuwan yang menemukan hukum gravitasi?|Isaac Newton.
Siapakah penemu komputer?|Charles Babbage.
Apa nama hewan yang bisa terbang?|Burung.
Siapa penulis novel Pride and Prejudice?|Jane Austen.
Apa yang dilakukan seorang insinyur?|Merancang dan membangun struktur atau mesin.
Siapa penulis cerita The Catcher in the Rye?|J.D. Salinger.
Berapa banyak poin yang didapatkan untuk mencetak gol dalam sepak bola?|Satu.
Apa nama ilmuwan yang menemukan radium?|Marie Curie.
Siapa penulis novel One Hundred Years of Solitude?|Gabriel Garcia Marquez.
Apa yang dilakukan seorang ahli biologi?|Mempelajari makhluk hidup dan proses kehidupan.
Siapa penulis cerita Alice's Adventures in Wonderland?|Lewis Carroll.
Berapa jumlah kaki yang dimiliki seekor laba-laba?|Delapan.
Apa nama ibukota Perancis?|Paris.
Siapa penulis novel 1984?|George Orwell.
Apa nama planet terbesar di Tata Surya?|Jupiter.
Siapa presiden Amerika Serikat ke-44?|Barack Obama.
Apa nama alat musik gesek yang terkenal?|Biola.
Siapa penulis novel The Grapes of Wrath?|John Steinbeck.
Berapa banyak pemain yang berada di lapangan dalam permainan sepak bola?|Sebelas.
Apa nama tokoh utama dalam cerita The Hunger Games?|Katniss Everdeen.
Siapa penulis drama Hamlet?|William Shakespeare.
Apa yang dilakukan seorang arkeolog?|Mempelajari dan menggali artefak sejarah.
Siapa penemu radio?|Guglielmo Marconi.
Apa nama tokoh utama dalam cerita The Catcher in the Rye?|Holden Caulfield.
Siapa penulis novel The Odyssey?|Homer.
Berapa banyak roda yang biasanya ada pada sepeda?|Dua.
Apa nama hewan yang memiliki punggung berduri?|Landak.
Siapa penulis novel The Brothers Karamazov?|Fyodor Dostoevsky.
Apa yang dilakukan seorang ahli kimia?|Mempelajari sifat dan komposisi zat.
Siapa penulis novel Jane Eyre?|Charlotte Bronte.
Berapa banyak komputer yang dibutuhkan untuk membuat jaringan?|Minimal dua.
Apa nama bintang terdekat dari Bumi?|Matahari.
Siapa penulis drama Othello?|William Shakespeare.
Apa nama alat musik yang dimainkan dengan cara dipetik?|Gitar.
Siapa penemu teleskop?|Galileo Galilei.
Apa nama ilmuwan yang menemukan penicillin?|Alexander Fleming.
Siapa penulis novel The Picture of Dorian Gray?|Oscar Wilde.
Berapa banyak mata yang dimiliki manusia?|Dua.
Apa nama ilmuwan yang menemukan hukum gerak?|Sir Isaac Newton.
Siapa presiden Amerika Serikat ke-32?|Franklin D. Roosevelt.
Apa nama benua terbesar di dunia?|Asia.
Siapa penulis novel Frankenstein?|Mary Shelley.
Apa yang dilakukan seorang psikolog?|Mempelajari perilaku manusia.
Siapa penulis drama King Lear?|William Shakespeare.
Apa nama ilmuwan yang menemukan radioaktif?|Marie Curie.
Siapa penulis novel Wuthering Heights?|Emily Bronte.
Berapa banyak kapal yang terlihat di gambar ini?|Satu.
Apa nama zat yang paling banyak ada di tubuh manusia?|Air.
Siapa penulis novel Catch-22?|Joseph Heller.
Apa yang dilakukan seorang dokter?|Merawat pasien.
Siapa penulis novel Catcher in the Rye?|J.D. Salinger.
Berapa jumlah negara yang ada di dunia saat ini?|Lebih dari dua ratus.
Apa nama alat musik yang dimainkan dengan menekan tombol?|Piano.
Siapa penemu lampu pijar?|Thomas Edison.
Apa nama planet terkecil di Tata Surya?|Merkurius.
